libelle;appellation_code
Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux; 
Engins agricoles et forestiers; 
Conduite d'engins agricoles et forestiers; 
Chauffeur / Chauffeuse de machines agricoles;11987
Conducteur / Conductrice d'abatteuses;12862
Conducteur / Conductrice d'automoteur de récolte;38874
Conducteur / Conductrice d'engins d'exploitation agricole;13254
Conducteur / Conductrice d'engins d'exploitation forestière;13255
Conducteur / Conductrice d'engins de débardage;13248
Conducteur / Conductrice d'engins forestiers;13256
Conducteur / Conductrice d'épareuse;38877
Conducteur / Conductrice de machines à vendanger;13232
Conducteur / Conductrice de matériels de semis;38878
Conducteur / Conductrice de pulvérisateur;38875
Conducteur / Conductrice de tête d'abattage;13197
Conducteur / Conductrice de tracteur;13201
Conducteur / Conductrice de tracteur enjambeur;140877
Conducteur / Conductrice de tracto-benne;38879
Débardeur / Débardeuse;13886
Débardeur forestier / Débardeuse forestière;13887
Opérateur / Opératrice d'abatteuse;17055
Opérateur / Opératrice d'épandage;38876
Pilote de machines d'abattage;17751
Tractoriste agricole;20404
Tractoriste forestier / Tractoriste forestière;20405
Espaces naturels et espaces verts; 
Bûcheronnage et élagage; 
Arboriste;11105
Arboriste grimpeur / grimpeuse;11106
Bûcheron / Bûcheronne;11606
Bûcheron élagueur / Bûcheronne élagueuse;11607
Charbonnier / Charbonnière;11740
Commis / Commise de coupe;12755
Éhouppeur / Éhouppeuse;14607
Élagueur / Élagueuse;14608
Élagueur / Élagueuse espaces verts;14609
Élagueur-botteur / Élagueuse-botteuse;14610
Élagueur-grimpeur / Élagueuse-grimpeuse;14611
Grimpeur-élagueur / Grimpeuse-élagueuse;15429
Homme / Femme de pied;38435
Ouvrier / Ouvrière d'exploitation forestière;17483
Entretien des espaces naturels; 
Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt;10382
Agent / Agente d'aménagement des haies et fossés;10383
Agent / Agente d'entretien de l'espace rural;10667
Agent / Agente d'entretien de la nature;10664
Agent / Agente d'entretien des espaces naturels;10673
Agent / Agente d'entretien des rivières;10677
Agent / Agente d'entretien nature du littoral;10685
Agent / Agente d'entretien nature et biodiversité;38323
Chef d'équipe d'entretien d'espaces naturels;12440
Ouvrier / Ouvrière d'entretien des espaces naturels;17474
Ouvrier / Ouvrière de génie écologique;200080
Aménagement et entretien des espaces verts; 
Agent / Agente d'entretien des parcs et jardins;10675
Aide jardinier / jardinière;38436
Chef d'équipe d'entretien des espaces verts;12439
Chef d'équipe paysagiste;12482
Jardinier / Jardinière;16067
Jardinier / Jardinière d'espaces verts;16068
Jardinier / Jardinière paysagiste;16069
Manoeuvre des espaces verts;38437
Ouvrier / Ouvrière d'entretien des espaces verts;17475
Ouvrier / Ouvrière des espaces verts;17480
